level,word,part_of_speech,definition,synonyms,more_synonyms,mnemonic,context_sentence,story_builder,mnemonic_source_url
11,abroad,adv,(to or in a foreign country,abroad,"overseas, faraway, in another place",Think of 'abroad' as 'abr' to help remember it means (to or in a foreign country.,He runs 'abroad' which means he runs (to or in a foreign country.,"Yesterday, I had to ___ when I (to or in a foreign country. Choices: [abroad, play, jump].",
11,acceptable,adj,worthy of acceptance or satisfactory,acceptable,"satisfactory, allowable, satisfactory",Think of 'acceptable' as 'acc' to help remember it means worthy of acceptance or satisfactory.,My toy is very 'acceptable' because it is worthy of acceptance or satisfactory.,"Yesterday, I had to ___ when I worthy of acceptance or satisfactory. Choices: [acceptable, play, jump].",
11,accompany,v,be present or associated with an event or entity,"attach to, accompany, come with, go with","escort, coincide, befriend, associate, escort, transport",Think of 'accompany' as 'acc' to help remember it means be present or associated with an event or entity.,We can 'accompany' when we be present or associated with an event or entity.,"Yesterday, I had to ___ when I be present or associated with an event or entity. Choices: [accompany, play, jump].",
11,accomplish,v,put in effect,"carry through, accomplish, execute, carry out, action, fulfill, fulfil","succeed, accomplish, do, make real, succeed, achieve",Think of 'accomplish' as 'acc' to help remember it means put in effect.,We can 'accomplish' when we put in effect.,"Yesterday, I had to ___ when I put in effect. Choices: [accomplish, play, jump].",
11,acknowledge,v,declare to be true or admit the existence or reality or truth of,"admit, acknowledge","certify, admit, respond, stand, believe, bear",Think of 'acknowledge' as 'ack' to help remember it means declare to be true or admit the existence or reality or truth of.,We can 'acknowledge' when we declare to be true or admit the existence or reality or truth of.,"Yesterday, I had to ___ when I declare to be true or admit the existence or reality or truth of. Choices: [acknowledge, play, jump].",
11,adapt,v,"make fit for, or change to suit a new purpose","adapt, accommodate","adjust, adjust, conform, get used to, agree, adapt","Think of 'adapt' as 'ada' to help remember it means make fit for, or change to suit a new purpose.","We can 'adapt' when we make fit for, or change to suit a new purpose.","Yesterday, I had to ___ when I make fit for, or change to suit a new purpose. Choices: [adapt, play, jump].",
11,adequate,adj,having the requisite qualities or resources to meet a task,"adequate, equal","enough, capable, satisfactory, satisfactory, satisfy, able",Think of 'adequate' as 'ade' to help remember it means having the requisite qualities or resources to meet a task.,My toy is very 'adequate' because it is having the requisite qualities or resources to meet a task.,"Yesterday, I had to ___ when I having the requisite qualities or resources to meet a task. Choices: [adequate, play, jump].",
11,adjust,v,alter or regulate so as to achieve accuracy or conform to a standard,"adjust, set, correct","adapt, alter, coordinate, conform, accomplish, agree",Think of 'adjust' as 'adj' to help remember it means alter or regulate so as to achieve accuracy or conform to a standard.,We can 'adjust' when we alter or regulate so as to achieve accuracy or conform to a standard.,"Yesterday, I had to ___ when I alter or regulate so as to achieve accuracy or conform to a standard. Choices: [adjust, play, jump].",
11,administer,v,work in an administrative capacity; supervise or be in charge of,"administer, administrate","manage, dispense, try, put on, divide, manage",Think of 'administer' as 'adm' to help remember it means work in an administrative capacity; supervise or be in charge of.,We can 'administer' when we work in an administrative capacity; supervise or be in charge of.,"Yesterday, I had to ___ when I work in an administrative capacity; supervise or be in charge of. Choices: [administer, play, jump].",
11,admit,v,declare to be true or admit the existence or reality or truth of,"admit, acknowledge","allow, confess, agree, allow, consent, approve",Think of 'admit' as 'adm' to help remember it means declare to be true or admit the existence or reality or truth of.,We can 'admit' when we declare to be true or admit the existence or reality or truth of.,"Yesterday, I had to ___ when I declare to be true or admit the existence or reality or truth of. Choices: [admit, play, jump].",
11,adverse,adj,contrary to your interests or welfare,"adverse, inauspicious, untoward","unfavorable, distressing, disastrous, contradictory, antagonistic, antagonistic",Think of 'adverse' as 'adv' to help remember it means contrary to your interests or welfare.,My toy is very 'adverse' because it is contrary to your interests or welfare.,"Yesterday, I had to ___ when I contrary to your interests or welfare. Choices: [adverse, play, jump].",
11,advocate,v,push for something,"recommend, urge, advocate","publicist, support, mediator, legal adviser to military commander, encourage, person wanting something ended",Think of 'advocate' as 'adv' to help remember it means push for something.,We can 'advocate' when we push for something.,"Yesterday, I had to ___ when I push for something. Choices: [advocate, play, jump].",
11,affordable,adj,that you have the financial means for,"low-cost, low-priced, affordable",,Think of 'affordable' as 'aff' to help remember it means that you have the financial means for.,My toy is very 'affordable' because it is that you have the financial means for.,"Yesterday, I had to ___ when I that you have the financial means for. Choices: [affordable, play, jump].",
11,allege,v,report or maintain,"allege, aver, say","assert, blame, promote, insist, quote, demand right",Think of 'allege' as 'all' to help remember it means report or maintain.,We can 'allege' when we report or maintain.,"Yesterday, I had to ___ when I report or maintain. Choices: [allege, play, jump].",
