level,word,part_of_speech,definition,synonyms,more_synonyms
11,abroad,adv,(to or in a foreign country,abroad,"overseas, faraway, in another place"
11,acceptable,adj,worthy of acceptance or satisfactory,acceptable,"satisfactory, allowable, satisfactory"
11,accompany,v,be present or associated with an event or entity,"attach to, accompany, come with, go with","escort, coincide, befriend, associate, escort, transport"
11,accomplish,v,put in effect,"carry through, accomplish, execute, carry out, action, fulfill, fulfil","succeed, accomplish, do, make real, succeed, achieve"
11,acknowledge,v,declare to be true or admit the existence or reality or truth of,"admit, acknowledge","certify, admit, respond, stand, believe, bear"
11,adapt,v,"make fit for, or change to suit a new purpose","adapt, accommodate","adjust, adjust, conform, get used to, agree, adapt"
11,adequate,adj,having the requisite qualities or resources to meet a task,"adequate, equal","enough, capable, satisfactory, satisfactory, satisfy, able"
11,adjust,v,alter or regulate so as to achieve accuracy or conform to a standard,"adjust, set, correct","adapt, alter, coordinate, conform, accomplish, agree"
11,administer,v,work in an administrative capacity; supervise or be in charge of,"administer, administrate","manage, dispense, try, put on, divide, manage"
11,admit,v,declare to be true or admit the existence or reality or truth of,"admit, acknowledge","allow, confess, agree, allow, consent, approve"
11,adverse,adj,contrary to your interests or welfare,"adverse, inauspicious, untoward","unfavorable, distressing, disastrous, contradictory, antagonistic, antagonistic"
11,advocate,v,push for something,"recommend, urge, advocate","publicist, support, mediator, legal adviser to military commander, encourage, person wanting something ended"
11,affordable,adj,that you have the financial means for,"low-cost, low-priced, affordable",
11,allege,v,report or maintain,"allege, aver, say","assert, blame, promote, insist, quote, demand right"
11,allege,,Synonyms:,"More Synonyms: assert, blame, promote, insist, quote, demand right","assert, blame, promote, insist, quote, demand right"
11,alliance,n,the state of being allied or confederated,"alliance, confederation","association, institution, similiarity, concurrence, group, alliance"
11,allocate,v,distribute according to a plan or set apart for a special purpose,"allocate, apportion","assign, coordinate, assign, allot, divide, give"
11,ally,n,a friendly nation,ally,"friend, conspirator, associate, join, blend, helper"
11,alter,v,cause to change; make different; cause a transformation,"change, alter, modify","change, sterilize, other side to personality, companion, change, adjust"
11,animate,v,heighten or intensify,"inspire, animate, invigorate, enliven, exalt",
11,apparent,adj,clearly revealed to the mind or the senses or judgment,"apparent, evident, manifest, patent, plain, unmistakable","seeming, obvious, person expected to take over, be clear, considerable, shameless"
11,appearance,n,outward or visible aspect of a person or thing,"appearance, visual aspect","manifestation, characteristic, pretense, beginning, pretense, style"
11,appoint,v,create and charge with a task or function,"appoint, name, nominate, constitute","assign, furnish, authorize, assign, allocate, equip"
11,appointment,n,the act of putting a person into a non-elective position,"appointment, assignment, designation, naming","meeting, responsibility, job, furnishing(s), tryst, responsibility"
11,appreciate,v,recognize with gratitude; be grateful for,appreciate,"enjoy, increase, recognize, value, respect, understand"
11,arcade,n,a covered passageway with shops and stalls on either side,arcade,"covered way, balcony, collection of stores in one place"
11,argue,v,present reasons and arguments,"argue, reason","fight, appeal, discuss, support, disturb, reply"
11,arrange,v,put into a proper or systematic order,"arrange, set up","order, plan, orchestrate, serve, adapt, coordinate"
11,arrest,v,take into custody,"collar, nail, apprehend, arrest, pick up, nab, cop","capture, stopping, capture, stop, fascinate, heart attack"
11,assumption,n,a statement that is assumed to be true and from which a conclusion can be drawn,,
11,assurance,n,freedom from doubt; belief in yourself and your abilities,"assurance, self-assurance, confidence, self-confidence, authority, sureness","warranty, confidence, defense, arrogance, faith, deposit"
11,assure,v,make certain of,"guarantee, ensure, insure, assure, secure","convince, certify, clinch, restore, declare, secure"
11,atlas,n,(Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders,Atlas,"document, guide, chart, book of information"
11,attitude,n,a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways,"attitude, mental attitude","outlook, stance, belligerent attitude, bad attitude, pretense, characteristic"
11,automate,v,make automatic or control or operate automatically,"automatize, automatise, automate",
11,ban,v,forbid the public distribution of ( a movie or a newspaper),"ban, censor","forbiddance, forbid, expel, trade prohibition, denouncement, prohibit"
11,barrier,n,a structure or object that impedes free movement,barrier,"obstruction, difficulty, sound barrier, physical boundary to supersonic, block, obstruction"
11,behalf,n,,behalf,"interest, for someone, advantage, alternatively, interest, benefit"
11,belief,n,any cognitive content held as true,,
11,blend,v,combine into one,"blend, intermix, immingle, intermingle","mix, mix, harmonize, blending, debase, conform"
11,bore,,Synonyms:,"More Synonyms: nuisance, drill, weary, irritate, harass, ammunition","nuisance, drill, weary, irritate, harass, ammunition"
11,boundless,,Synonyms:,"More Synonyms: endless, immeasurable, godlike, continuous, endless, infinite","endless, immeasurable, godlike, continuous, endless, infinite"
11,brochure,n,a small book usually having a paper cover,"booklet, brochure, folder, leaflet, pamphlet","document, document, pamphlet, handbill, writing, publication"
11,broken,,Synonyms:,"More Synonyms: destroyed, discontinuous, defeated, not working, forgotten, stuttering","destroyed, discontinuous, defeated, not working, forgotten, stuttering"
11,brook,n,a natural stream of water smaller than a river (and often a tributary of a river),"brook, creek","stream, endure, permit, water, endure, stream"
11,bulk,n,the property resulting from being or relating to the greater in number of two parts; the main part,"majority, bulk","largeness, main part, collection, quantity, finances, volume"
11,capable,adj,(usually followed by `of’) having capacity or ability,capable,"able, capable, talented, strong, able, enough"
11,casual,adj,marked by blithe unconcern,"casual, insouciant, nonchalant","chance, nonchalant, unexpected, goalless, hint, remote"
11,cater,v,"give what is desired or needed, especially support, food or sustenance","provide, supply, ply, cater","help, pamper, pamper, angled, angled, ingratiate"
11,catholic,n,a member of a Catholic church,Catholic,"general, liberal, inclusive, universal, worldly-wise, spread out"
11,celebrate,v,behave as expected during of holidays or rites,"observe, celebrate, keep","commemorate, approve, bestow, honor, praise, make famous"
11,cellular,adj,relating to cells,cellular,"mobile telephone, cellular telephone, basic"
11,census,n,a periodic count of the population,"census, nose count, nosecount","head count, population study, study of human population, system, number of people in a group, record"
11,champion,n,someone who has won first place in a competition,"champion, champ, title-holder","excellent, defeater, advocate, expert, expert, publicist"
11,charity,n,a foundation created to promote the public good (not for assistance to any particular individuals),charity,"generosity, kindness, appeal for funds, help, handout, unselfish concern"
11,charter,n,a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation,charter,"agreement, commission, original member, document, authorize, register"
11,cheer,n,a cry or shout of approval,cheer,"support, please, encourage, happiness, approve, approval"
11,chronic,adj,being long-lasting and recurrent or characterized by long suffering,chronic,"incessant, disorder involving extreme fatigue and weakness, normal, habitual, neverending, usual"
11,chronicle,v,record in chronological order; make a historical record,chronicle,"narrative, report, narrative, chronicle, history, collection"
11,circumstance,n,a condition that accompanies or influences some event or activity,circumstance,"situation, luck, happening, fate, happening, difficulty"
11,cite,v,make reference to,"mention, advert, bring up, cite, name, refer","quote, subpoena, blame, affirm, promote, assert"
11,classification,n,the act of distributing things into classes or categories of the same type,"categorization, categorisation, classification, compartmentalization, compartmentalisation, assortment","categorization, order, department, account, written or printed matter featuring a selection of objects, document"
11,classify,v,arrange or order by classes or categories,"classify, class, sort, assort, sort out, separate","categorize, order, sort, categorize, systematize, shorten"
11,clause,n,(grammar) an expression including a subject and predicate but not constituting a complete sentence,clause,"provision, legal provision to get out of a contract, exemption based on circumstances, document, document, reply"
11,climate,n,the weather in some location averaged over some long period of time,"climate, clime","weather, mood, air cooling, niceness, mood, surroundings"
