level,word,part_of_speech,definition,synonyms,more_synonyms,mnemonic,context_sentence,story_builder
11,abroad,adv,(to or in a foreign country,abroad,"overseas, faraway, in another place",🔑 Remember: 'abroad' sounds like 'abr' and means (to or in a foreign country.,"He acted 'abroad', which means he acted (to or in a foreign country.","Tom found a magic box that could ___ when he (to or in a foreign country. Choices: [abroad, dance, eat]"
11,acceptable,adj,worthy of acceptance or satisfactory,acceptable,"satisfactory, allowable, satisfactory",🔑 Remember: 'acceptable' sounds like 'acc' and means worthy of acceptance or satisfactory.,My dog is 'acceptable' because it is worthy of acceptance or satisfactory.,"On a sunny day, Mia decided to ___ while she worthy of acceptance or satisfactory. Choices: [acceptable, sleep, laugh]"
11,accompany,v,be present or associated with an event or entity,"attach to, accompany, come with, go with","escort, coincide, befriend, associate, escort, transport",🔑 Remember: 'accompany' sounds like 'acc' and means be present or associated with an event or entity.,Every day we can 'accompany' when we be present or associated with an event or entity.,"During the big game, the team had to ___ if they wanted to be present or associated with an event or entity. Choices: [accompany, run, jump]"
11,accomplish,v,put in effect,"carry through, accomplish, execute, carry out, action, fulfill, fulfil","succeed, accomplish, do, make real, succeed, achieve",🔑 Remember: 'accomplish' sounds like 'acc' and means put in effect.,Every day we can 'accomplish' when we put in effect.,"Sara’s teacher asked the class to ___ to show they could put in effect. Choices: [accomplish, draw, play]"
11,acknowledge,v,declare to be true or admit the existence or reality or truth of,"admit, acknowledge","certify, admit, respond, stand, believe, bear",🔑 Remember: 'acknowledge' sounds like 'ack' and means declare to be true or admit the existence or reality or truth of.,Every day we can 'acknowledge' when we declare to be true or admit the existence or reality or truth of.,"Tom found a magic box that could ___ when he declare to be true or admit the existence or reality or truth of. Choices: [acknowledge, dance, eat]"
11,adapt,v,"make fit for, or change to suit a new purpose","adapt, accommodate","adjust, adjust, conform, get used to, agree, adapt","🔑 Remember: 'adapt' sounds like 'ada' and means make fit for, or change to suit a new purpose.","Every day we can 'adapt' when we make fit for, or change to suit a new purpose.","On a rainy day, Mia decided to ___ while she make fit for, or change to suit a new purpose. Choices: [adapt, sleep, laugh]"
11,adequate,adj,having the requisite qualities or resources to meet a task,"adequate, equal","enough, capable, satisfactory, satisfactory, satisfy, able",🔑 Remember: 'adequate' sounds like 'ade' and means having the requisite qualities or resources to meet a task.,My dog is 'adequate' because it is having the requisite qualities or resources to meet a task.,"Tom found a magic box that could ___ when he having the requisite qualities or resources to meet a task. Choices: [adequate, dance, eat]"
11,adjust,v,alter or regulate so as to achieve accuracy or conform to a standard,"adjust, set, correct","adapt, alter, coordinate, conform, accomplish, agree",🔑 Remember: 'adjust' sounds like 'adj' and means alter or regulate so as to achieve accuracy or conform to a standard.,Every day we can 'adjust' when we alter or regulate so as to achieve accuracy or conform to a standard.,"Tom found a magic box that could ___ when he alter or regulate so as to achieve accuracy or conform to a standard. Choices: [adjust, dance, eat]"
11,administer,v,work in an administrative capacity; supervise or be in charge of,"administer, administrate","manage, dispense, try, put on, divide, manage",🔑 Remember: 'administer' sounds like 'adm' and means work in an administrative capacity; supervise or be in charge of.,Every day we can 'administer' when we work in an administrative capacity; supervise or be in charge of.,"On a snowy day, Mia decided to ___ while she work in an administrative capacity; supervise or be in charge of. Choices: [administer, sleep, laugh]"
11,admit,v,declare to be true or admit the existence or reality or truth of,"admit, acknowledge","allow, confess, agree, allow, consent, approve",🔑 Remember: 'admit' sounds like 'adm' and means declare to be true or admit the existence or reality or truth of.,Every day we can 'admit' when we declare to be true or admit the existence or reality or truth of.,"During the big game, the team had to ___ if they wanted to declare to be true or admit the existence or reality or truth of. Choices: [admit, run, jump]"
11,adverse,adj,contrary to your interests or welfare,"adverse, inauspicious, untoward","unfavorable, distressing, disastrous, contradictory, antagonistic, antagonistic",🔑 Remember: 'adverse' sounds like 'adv' and means contrary to your interests or welfare.,My dog is 'adverse' because it is contrary to your interests or welfare.,"During the big game, the team had to ___ if they wanted to contrary to your interests or welfare. Choices: [adverse, run, jump]"
11,advocate,v,push for something,"recommend, urge, advocate","publicist, support, mediator, legal adviser to military commander, encourage, person wanting something ended",🔑 Remember: 'advocate' sounds like 'adv' and means push for something.,Every day we can 'advocate' when we push for something.,"On a sunny day, Mia decided to ___ while she push for something. Choices: [advocate, sleep, laugh]"
11,affordable,adj,that you have the financial means for,"low-cost, low-priced, affordable",,🔑 Remember: 'affordable' sounds like 'aff' and means that you have the financial means for.,My dog is 'affordable' because it is that you have the financial means for.,"Sara’s teacher asked the class to ___ to show they could that you have the financial means for. Choices: [affordable, draw, play]"
11,allege,v,report or maintain,"allege, aver, say","assert, blame, promote, insist, quote, demand right",🔑 Remember: 'allege' sounds like 'all' and means report or maintain.,Every day we can 'allege' when we report or maintain.,"During the big game, the team had to ___ if they wanted to report or maintain. Choices: [allege, run, jump]"
11,allege,,Synonyms:,"More Synonyms: assert, blame, promote, insist, quote, demand right","assert, blame, promote, insist, quote, demand right",🔑 Remember: 'allege' sounds like 'all' and means Synonyms:.,'allege' means Synonyms:.,"Sara’s teacher asked the class to ___ to show they could Synonyms:. Choices: [allege, draw, play]"
11,alliance,n,the state of being allied or confederated,"alliance, confederation","association, institution, similiarity, concurrence, group, alliance",🔑 Remember: 'alliance' sounds like 'all' and means the state of being allied or confederated.,"The word 'alliance' is a thing, it means the state of being allied or confederated.","On a rainy day, Mia decided to ___ while she the state of being allied or confederated. Choices: [alliance, sleep, laugh]"
11,allocate,v,distribute according to a plan or set apart for a special purpose,"allocate, apportion","assign, coordinate, assign, allot, divide, give",🔑 Remember: 'allocate' sounds like 'all' and means distribute according to a plan or set apart for a special purpose.,Every day we can 'allocate' when we distribute according to a plan or set apart for a special purpose.,"In the middle of the forest, animals love to ___ because they distribute according to a plan or set apart for a special purpose. Choices: [allocate, hide, sing]"
11,ally,n,a friendly nation,ally,"friend, conspirator, associate, join, blend, helper",🔑 Remember: 'ally' sounds like 'all' and means a friendly nation.,"The word 'ally' is a thing, it means a friendly nation.","On a sunny day, Mia decided to ___ while she a friendly nation. Choices: [ally, sleep, laugh]"
11,alter,v,cause to change; make different; cause a transformation,"change, alter, modify","change, sterilize, other side to personality, companion, change, adjust",🔑 Remember: 'alter' sounds like 'alt' and means cause to change; make different; cause a transformation.,Every day we can 'alter' when we cause to change; make different; cause a transformation.,"On a rainy day, Mia decided to ___ while she cause to change; make different; cause a transformation. Choices: [alter, sleep, laugh]"
11,animate,v,heighten or intensify,"inspire, animate, invigorate, enliven, exalt",,🔑 Remember: 'animate' sounds like 'ani' and means heighten or intensify.,Every day we can 'animate' when we heighten or intensify.,"Sara’s teacher asked the class to ___ to show they could heighten or intensify. Choices: [animate, draw, play]"
11,apparent,adj,clearly revealed to the mind or the senses or judgment,"apparent, evident, manifest, patent, plain, unmistakable","seeming, obvious, person expected to take over, be clear, considerable, shameless",🔑 Remember: 'apparent' sounds like 'app' and means clearly revealed to the mind or the senses or judgment.,My dog is 'apparent' because it is clearly revealed to the mind or the senses or judgment.,"On a sunny day, Mia decided to ___ while she clearly revealed to the mind or the senses or judgment. Choices: [apparent, sleep, laugh]"
11,appearance,n,outward or visible aspect of a person or thing,"appearance, visual aspect","manifestation, characteristic, pretense, beginning, pretense, style",🔑 Remember: 'appearance' sounds like 'app' and means outward or visible aspect of a person or thing.,"The word 'appearance' is a thing, it means outward or visible aspect of a person or thing.","In the middle of the forest, animals love to ___ because they outward or visible aspect of a person or thing. Choices: [appearance, hide, sing]"
11,appoint,v,create and charge with a task or function,"appoint, name, nominate, constitute","assign, furnish, authorize, assign, allocate, equip",🔑 Remember: 'appoint' sounds like 'app' and means create and charge with a task or function.,Every day we can 'appoint' when we create and charge with a task or function.,"On a rainy day, Mia decided to ___ while she create and charge with a task or function. Choices: [appoint, sleep, laugh]"
11,appointment,n,the act of putting a person into a non-elective position,"appointment, assignment, designation, naming","meeting, responsibility, job, furnishing(s), tryst, responsibility",🔑 Remember: 'appointment' sounds like 'app' and means the act of putting a person into a non-elective position.,"The word 'appointment' is a thing, it means the act of putting a person into a non-elective position.","In the middle of the forest, animals love to ___ because they the act of putting a person into a non-elective position. Choices: [appointment, hide, sing]"
11,appreciate,v,recognize with gratitude; be grateful for,appreciate,"enjoy, increase, recognize, value, respect, understand",🔑 Remember: 'appreciate' sounds like 'app' and means recognize with gratitude; be grateful for.,Every day we can 'appreciate' when we recognize with gratitude; be grateful for.,"During the big game, the team had to ___ if they wanted to recognize with gratitude; be grateful for. Choices: [appreciate, run, jump]"
11,arcade,n,a covered passageway with shops and stalls on either side,arcade,"covered way, balcony, collection of stores in one place",🔑 Remember: 'arcade' sounds like 'arc' and means a covered passageway with shops and stalls on either side.,"The word 'arcade' is a thing, it means a covered passageway with shops and stalls on either side.","On a rainy day, Mia decided to ___ while she a covered passageway with shops and stalls on either side. Choices: [arcade, sleep, laugh]"
11,argue,v,present reasons and arguments,"argue, reason","fight, appeal, discuss, support, disturb, reply",🔑 Remember: 'argue' sounds like 'arg' and means present reasons and arguments.,Every day we can 'argue' when we present reasons and arguments.,"On a sunny day, Mia decided to ___ while she present reasons and arguments. Choices: [argue, sleep, laugh]"
11,arrange,v,put into a proper or systematic order,"arrange, set up","order, plan, orchestrate, serve, adapt, coordinate",🔑 Remember: 'arrange' sounds like 'arr' and means put into a proper or systematic order.,Every day we can 'arrange' when we put into a proper or systematic order.,"Sara’s teacher asked the class to ___ to show they could put into a proper or systematic order. Choices: [arrange, draw, play]"
11,arrest,v,take into custody,"collar, nail, apprehend, arrest, pick up, nab, cop","capture, stopping, capture, stop, fascinate, heart attack",🔑 Remember: 'arrest' sounds like 'arr' and means take into custody.,Every day we can 'arrest' when we take into custody.,"On a rainy day, Mia decided to ___ while she take into custody. Choices: [arrest, sleep, laugh]"
11,assumption,n,a statement that is assumed to be true and from which a conclusion can be drawn,,,🔑 Remember: 'assumption' sounds like 'ass' and means a statement that is assumed to be true and from which a conclusion can be drawn.,"The word 'assumption' is a thing, it means a statement that is assumed to be true and from which a conclusion can be drawn.","In the middle of the forest, animals love to ___ because they a statement that is assumed to be true and from which a conclusion can be drawn. Choices: [assumption, hide, sing]"
